Name,CellId,Angle,TerrainType,Slope,Lane0,Lane1,Lane2,Lane3,Lane4,Lane5
0,0,0,0,0,4,2,0,0,2,4
1,1,0,0,2,5,3,1,0,2,4
2,2,0,0,8,5,4,2,0,1,3
3,3,0,0,5,5,4,3,1,0,2
4,4,0,0,2,5,4,3,2,0,1
5,5,0,0,2,5,4,3,2,0,1
6,6,0,0,3,5,4,3,2,1,0
7,7,5,0,2,5,4,3,2,1,0
8,8,5,0,2,5,4,3,2,1,0
9,9,10,0,-2,5,4,3,2,1,0
10,10,20,0,-5,5,4,3,2,1,0
11,11,10,0,-5,5,4,3,2,1,0
12,12,5,0,-5,5,4,3,2,1,0
13,13,5,0,-8,5,4,3,2,1,0
14,14,0,0,-3,5,4,3,1,0,2
15,15,0,0,-5,5,3,1,0,2,4
16,16,0,0,-5,3,1,0,2,4,5
17,17,-5,0,-5,0,1,2,3,4,5
18,18,-5,0,-5,0,1,2,3,4,5
19,19,-10,0,-5,0,1,2,3,4,5
20,20,-10,0,0,0,1,2,3,4,5
21,21,-5,0,-5,0,1,2,3,4,5
22,22,-5,0,-5,1,0,2,3,4,5
23,23,5,0,-5,4,2,0,1,3,5
24,24,5,0,-5,5,3,1,0,2,4
25,25,5,0,-2,5,4,2,0,1,3
26,26,0,0,-3,5,3,1,0,2,4
27,27,0,0,-3,5,3,1,0,2,4
28,28,0,0,-5,4,2,0,1,3,5
29,29,0,0,-5,4,2,0,1,3,5
30,30,0,0,-3,3,1,0,2,4,5
31,31,0,0,-5,3,1,0,2,4,5
32,32,0,0,-8,2,0,1,3,4,5
33,33,0,0,-8,2,0,1,3,4,5
34,34,0,0,-10,2,0,1,3,4,5
35,35,0,0,-12,1,0,2,3,4,5
36,36,0,0,-12,1,0,2,3,4,5
37,37,0,0,-8,0,1,2,3,4,5
38,38,0,0,-8,0,1,2,3,4,5
39,39,0,0,5,0,1,2,3,4,5
40,40,-5,0,8,0,1,2,3,4,5
41,41,-5,0,6,0,1,2,3,4,5
42,42,-10,0,10,0,1,2,3,4,5
43,43,-10,0,8,0,1,2,3,4,5
44,44,-10,0,10,0,1,2,3,4,5
45,45,-10,0,12,0,1,2,3,4,5
46,46,-10,0,8,0,1,2,3,4,5
47,47,-10,0,5,0,1,2,3,4,5
48,48,-10,0,3,0,1,2,3,4,5
49,49,-10,0,12,0,1,2,3,4,5
50,50,-5,0,0,0,1,2,3,4,5
51,51,-5,0,-5,0,1,2,3,4,5
52,52,0,0,-2,0,1,2,3,4,5
53,53,0,0,5,0,1,2,3,4,5
54,54,0,0,12,0,1,2,3,4,5
55,55,0,0,20,1,0,2,3,4,5
56,56,0,0,8,1,0,2,3,4,5
57,57,0,0,5,1,0,2,3,4,5
58,58,0,0,7,2,0,1,3,4,5
59,59,0,0,0,2,0,1,3,4,5
60,60,0,0,3,3,1,0,2,4,5
61,61,0,0,10,3,1,0,2,4,5
62,62,0,0,2,3,1,0,2,4,5
63,63,0,0,-10,4,2,0,1,3,5
64,64,0,0,-15,4,2,0,1,3,5
65,65,0,0,8,5,3,1,0,2,4
66,66,0,0,5,5,3,1,0,2,4
67,67,0,0,8,5,3,1,0,2,4
68,68,0,0,8,5,4,2,0,1,3
69,69,0,0,10,5,4,2,0,1,3
70,70,0,0,10,5,4,2,0,1,3
71,71,0,0,12,5,4,3,1,0,2
72,72,0,0,12,5,4,3,1,0,2
73,73,0,0,15,5,4,3,2,0,1
74,74,0,0,12,5,4,3,2,0,1
75,75,0,0,10,5,4,3,2,0,1
76,76,0,0,12,5,4,3,2,1,0
77,77,0,0,12,5,4,3,2,1,0
78,78,0,0,15,5,4,3,2,1,0
79,79,0,0,10,5,4,3,2,1,0
80,80,10,0,10,5,4,3,2,1,0
81,81,20,0,10,5,4,3,2,1,0
82,82,10,0,18,5,4,3,1,0,2
83,83,-10,0,24,2,0,1,3,4,5
84,84,-10,0,16,0,1,2,3,4,5
85,85,0,0,20,0,1,2,3,4,5
86,86,0,0,20,0,1,2,3,4,5
87,87,0,0,15,1,0,2,3,4,5
88,88,0,0,20,2,0,1,3,4,5
